iter	Passed	Remaining
644	14930	5902
645	14951	5878
646	14970	5853
647	14988	5828
648	15009	5804
649	15029	5780
650	15048	5755
651	15065	5730
652	15082	5704
653	15097	5679
654	15116	5654
655	15134	5629
656	15152	5604
657	15172	5579
658	15192	5555
659	15211	5531
660	15228	5506
661	15246	5481
662	15265	5456
663	15282	5431
664	15299	5406
665	15316	5381
666	15340	5358
667	15358	5334
668	15378	5309
669	15396	5285
670	15414	5260
671	15432	5235
672	15448	5210
673	15464	5185
674	15482	5160
675	15498	5135
676	15514	5110
677	15535	5086
678	15555	5062
679	15571	5037
680	15587	5012
681	15604	4987
682	15620	4962
683	15637	4938
684	15652	4912
685	15670	4888
686	15685	4863
687	15702	4838
688	15720	4814
689	15739	4790
690	15757	4765
691	15773	4741
692	15789	4716
693	15804	4691
694	15820	4666
695	15836	4641
696	15851	4616
697	15866	4591
698	15881	4566
699	15897	4542
700	15914	4517
701	15932	4493
702	15949	4469
703	15968	4445
704	15985	4421
705	16003	4397
706	16021	4373
707	16042	4350
708	16061	4326
709	16078	4302
710	16097	4279
711	16116	4255
712	16136	4232
713	16153	4208
714	16169	4183
715	16186	4159
716	16205	4136
717	16224	4112
718	16242	4088
719	16259	4064
720	16275	4040
721	16293	4016
722	16309	3992
723	16326	3968
724	16342	3944
725	16359	3920
726	16373	3896
727	16389	3872
728	16404	3847
729	16418	3823
730	16434	3799
731	16450	3775
732	16466	3751
733	16484	3728
734	16503	3704
735	16522	3681
736	16541	3658
737	16558	3634
738	16576	3611
739	16595	3588
740	16613	3564
741	16631	3541
742	16648	3517
743	16663	3494
744	16679	3470
745	16695	3446
746	16711	3422
747	16727	3399
748	16744	3375
749	16763	3352
750	16778	3328
751	16795	3305
752	16811	3282
753	16829	3258
754	16845	3235
755	16862	3211
756	16877	3188
757	16893	3164
758	16910	3141
759	16927	3118
760	16947	3095
761	16966	3072
762	16981	3049
763	16998	3025
764	17017	3003
765	17037	2980
766	17058	2957
767	17079	2935
768	17096	2912
769	17114	2889
770	17133	2866
771	17151	2843
772	17169	2820
773	17189	2798
774	17207	2775
775	17225	2752
776	17244	2729
777	17264	2707
778	17281	2684
779	17301	2661
780	17320	2639
781	17337	2616
782	17354	2593
783	17370	2570
784	17386	2547
785	17402	2523
786	17418	2500
787	17434	2477
788	17450	2454
789	17468	2432
790	17485	2409
791	17503	2386
792	17522	2364
793	17541	2341
794	17560	2319
795	17580	2296
796	17600	2274
797	17620	2252
798	17638	2229
799	17654	2206
800	17671	2184
801	17687	2161
802	17703	2138
803	17720	2115
804	17742	2093
805	17761	2071
806	17780	2049
807	17803	2027
808	17823	2004
809	17844	1982
810	17863	1960
811	17883	1938
812	17903	1915
813	17928	1894
814	17953	1872
815	17976	1850
816	18002	1828
817	18026	1807
818	18050	1785
819	18073	1763
820	18096	1741
821	18122	1719
822	18152	1698
823	18177	1676
824	18204	1654
825	18228	1633
826	18252	1611
827	18272	1588
828	18290	1566
829	18310	1544
830	18328	1521
831	18345	1499
832	18364	1477
833	18382	1454
834	18400	1432
835	18418	1410
836	18435	1387
837	18453	1365
838	18471	1342
839	18490	1320
840	18508	1298
841	18528	1276
842	18547	1254
843	18568	1232
844	18587	1209
845	18612	1188
846	18633	1165
847	18652	1143
848	18669	1121
849	18686	1099
850	18703	1076
851	18720	1054
852	18736	1032
853	18753	1010
854	18770	987
855	18788	965
856	18805	943
857	18823	921
858	18842	899
859	18859	877
860	18879	855
861	18899	833
862	18919	811
863	18939	789
864	18958	767
865	18978	745
866	18996	723
867	19014	700
868	19032	678
869	19050	656
870	19069	634
871	19086	612
872	19104	590
873	19122	568
874	19141	546
875	19159	524
876	19177	502
877	19196	481
878	19215	459
879	19236	437
880	19256	415
881	19277	393
882	19299	371
883	19319	349
884	19339	327
885	19360	305
886	19383	284
887	19404	262
888	19425	240
889	19446	218
890	19465	196
891	19484	174
892	19505	152
893	19526	131
894	19546	109
895	19565	87
896	19584	65
897	19602	43
898	19622	21
899	19641	0
